id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate
1.39186E+18,1.39186E+18,2021-05-10 16:17:00 Central Daylight Time,5/10/2021,4:17:00 PM,-500,1.16669E+18,businsidermx,Business Insider MÃ©xico,,"@ElonMusk tuvo el poder de impulsar a #Dogecoin, y tambiÃ©n de tumbar su precio en @SNL  ðŸ’¸ðŸ‘‡  #criptomonedas #criptodivisas #economÃ­a #saturdaynightlive #ElonMusk #SaturdayNightLive   https://t.co/wNH0S5bUDn",es,[],['https://businessinsider.mx/dogecoin-pierde-un-tercio-valor-despues-de-que-elon-musk-dice-timo-en-snl/'],[],0,0,0,"['dogecoin', 'criptomonedas', 'criptodivisas', 'economÃ­a', 'saturdaynightlive', 'elonmusk', 'saturdaynightlive']",[],https://twitter.com/BusInsiderMX/status/1391864873974333445,FALSE,,0,,,"32.779167,-96.808891,10000km",,,,,[],,
1.39186E+18,1.39186E+18,2021-05-10 16:00:11 Central Daylight Time,5/10/2021,4:00:11 PM,-500,33576192,reformanegocios,NEGOCIOS,,"#AsÃ­EstÃ¡LaCosa La precursora de las criptomonedas es el #Bitcoin, que comenzÃ³ a operar en 2009, y a partir de ella surgieron #Ethereum, #Ripple, #Litecoin y #Dogecoin ðŸ”“ ðŸ‘‰  https://t.co/Z9W0h4CSQE  https://t.co/CK7GCJxOTJ",es,[],['http://ow.ly/kres50EJhIe'],['https://pbs.twimg.com/media/E1Dh4VJWQAMmuh0.jpg'],0,0,2,"['asÃ­estÃ¡lacosa', 'bitcoin', 'ethereum', 'ripple', 'litecoin', 'dogecoin']",[],https://twitter.com/reformanegocios/status/1391860643901452292,FALSE,,1,https://pbs.twimg.com/media/E1Dh4VJWQAMmuh0.jpg,,"32.779167,-96.808891,10000km",,,,,[],,
1.39175E+18,1.39175E+18,2021-05-10 08:51:44 Central Daylight Time,5/10/2021,8:51:44 AM,-500,16301273,ryandeiss,Ryan Deiss,,"Let's have a little fun, shall we?  When I was a kid I had a ferret named Murray.  I challenge you to come up with a better name for a ferret than, ""Murray.""   The winner (judged based on # of likes + my arbitrary feelings) will win a #dogecoin (because Murray always liked dogs).  https://t.co/uPunQeAT5Q",en,[],[],['https://pbs.twimg.com/media/E1B-uplXsAAVSDM.png'],10,0,4,['dogecoin'],[],https://twitter.com/ryandeiss/status/1391752818948812802,FALSE,,1,https://pbs.twimg.com/media/E1B-uplXsAAVSDM.png,,"32.779167,-96.808891,10000km",,,,,[],,
1.39174E+18,1.39174E+18,2021-05-10 08:04:27 Central Daylight Time,5/10/2021,8:04:27 AM,-500,31136822,thebrandonmorse,Brandon Morse,,#Dogecoin  https://t.co/GwebWOCQXc,und,[],[],['https://pbs.twimg.com/tweet_video_thumb/E1B0-8qWUAA6lDq.jpg'],1,2,12,['dogecoin'],[],https://twitter.com/TheBrandonMorse/status/1391740919263678465,FALSE,,1,https://pbs.twimg.com/tweet_video_thumb/E1B0-8qWUAA6lDq.jpg,,"32.779167,-96.808891,10000km",,,,,[],,
1.39173E+18,1.39173E+18,2021-05-10 07:17:16 Central Daylight Time,5/10/2021,7:17:16 AM,-500,2556706717,kluvrebekah,Rebekah Black,,Someone please! Explain #dogecoin. We get it but donâ€™t get it.,en,[],[],[],6,0,8,['dogecoin'],[],https://twitter.com/kluvrebekah/status/1391729045520461825,FALSE,https://twitter.com/KLUVMiles/status/1391723742913470469,0,,,"32.779167,-96.808891,10000km",,,,,[],,
1.39165E+18,1.39165E+18,2021-05-10 02:00:01 Central Daylight Time,5/10/2021,2:00:01 AM,-500,357050985,diario24horas,@diario24horas,,"Al aparecer como invitado en el programa cÃ³mico estadounidense â€œSaturday Night Liveâ€, Elon Musk, el polÃ©mico jefe de #Tesla y #SpaceX, dijo que tiene sÃ­ndrome de Asperger y volviÃ³ a hablar de la criptomoneda #Dogecoin.  https://t.co/lbHK6YBbNJ",es,[],['https://www.24-horas.mx/2021/05/09/videos-elon-musk-confiesa-tener-asperger-y-afirma-que-el-dogecoin-es-una-estafa/'],[],0,0,0,"['tesla', 'spacex', 'dogecoin']",[],https://twitter.com/diario24horas/status/1391649208990502912,FALSE,,0,,,"32.779167,-96.808891,10000km",,,,,[],,
1.39164E+18,1.39164E+18,2021-05-10 01:10:26 Central Daylight Time,5/10/2021,1:10:26 AM,-500,19489239,jerusalem_post,The Jerusalem Post,,".@elonmusk plans on launching ""DOGE-1 Mission to the Moon"", at least partly to be paid for in #Dogecoin.    https://t.co/EWMoitKJ7u",en,"[{'screen_name': 'elonmusk', 'name': 'elon musk', 'id': '44196397'}]",['https://www.jpost.com/international/spacex-accepts-dogecoin-as-payment-to-launch-lunar-mission-next-year-667737'],[],0,6,15,['dogecoin'],[],https://twitter.com/Jerusalem_Post/status/1391636729346527237,FALSE,,0,,,"32.779167,-96.808891,10000km",,,,,[],,
1.3915E+18,1.3915E+18,2021-05-09 16:13:58 Central Daylight Time,5/9/2021,4:13:58 PM,-500,33576192,reformanegocios,NEGOCIOS,,"#Dogecoin se cotizÃ³ hasta los 0.416 dÃ³lares en la plataforma de cifrado Binance, un 36% menos que los niveles antes de la transmisiÃ³n del programa Saturday Night Live donde #Musk demeritÃ³ la criptomoneda. #RegÃ­strateGratis  https://t.co/INngzXK2Iq",es,[],['https://reforma.com/7FIPNf'],[],0,3,5,"['dogecoin', 'musk', 'regÃ­strategratis']",[],https://twitter.com/reformanegocios/status/1391501725132021767,FALSE,,0,,,"32.779167,-96.808891,10000km",,,,,[],,
1.39147E+18,1.39147E+18,2021-05-09 13:54:12 Central Daylight Time,5/9/2021,1:54:12 PM,-500,37696377,jaymichaels13,Jay Michaels,,CONGRATS @elonmusk @MileyCyrus &amp; the #SNL staff THAT did appear for the 3rd highest ratings of the SEASON â€¼ï¸â€¼ï¸â€¼ï¸ &amp; #Dogecoinarmy #dogecoin #doge #dogetothemoon #ElonMuskSNL #MileyCyrus #grimes ðŸš€ðŸš€ðŸš€ photo : #Variety â€¼ï¸ðŸ’¯ðŸ’ƒðŸ¼  https://t.co/ikJAs2pnEM,en,"[{'screen_name': 'elonmusk', 'name': 'elon musk', 'id': '44196397'}, {'screen_name': 'mileycyrus', 'name': 'miley ray cyrus', 'id': '268414482'}]",[],['https://pbs.twimg.com/media/E097c4RX0AIN-LK.jpg'],2,20,31,"['snl', 'dogecoinarmy', 'dogecoin', 'doge', 'dogetothemoon', 'elonmusksnl', 'mileycyrus', 'grimes', 'variety']",[],https://twitter.com/jaymichaels13/status/1391466548544557058,FALSE,,1,https://pbs.twimg.com/media/E097c4RX0AIN-LK.jpg,,"32.779167,-96.808891,10000km",,,,,[],,
1.39142E+18,1.39142E+18,2021-05-09 11:01:12 Central Daylight Time,5/9/2021,11:01:12 AM,-500,2646336846,1funnymike,FunnyMike,,Dogecoin is for me because imma hustler ðŸ¤ª #dogecoin,en,[],[],[],47,254,1084,['dogecoin'],[],https://twitter.com/1funnymike/status/1391423015431385088,FALSE,,0,,,"32.779167,-96.808891,10000km",,,,,[],,
