id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate
1391864873974333445	1391864873974333445	2021-05-10 16:17:00 Central Daylight Time	2021-05-10	16:17:00	-0500	1166693592989077505	businsidermx	Business Insider México		@ElonMusk tuvo el poder de impulsar a #Dogecoin, y también de tumbar su precio en @SNL  💸👇  #criptomonedas #criptodivisas #economía #saturdaynightlive #ElonMusk #SaturdayNightLive   https://t.co/wNH0S5bUDn	es	[]	['https://businessinsider.mx/dogecoin-pierde-un-tercio-valor-despues-de-que-elon-musk-dice-timo-en-snl/']	[]	0	0	0	['dogecoin', 'criptomonedas', 'criptodivisas', 'economía', 'saturdaynightlive', 'elonmusk', 'saturdaynightlive']	[]	https://twitter.com/BusInsiderMX/status/1391864873974333445	False		0			32.779167,-96.808891,10000km					[]		
1391860643901452292	1391860643901452292	2021-05-10 16:00:11 Central Daylight Time	2021-05-10	16:00:11	-0500	33576192	reformanegocios	NEGOCIOS		#AsíEstáLaCosa La precursora de las criptomonedas es el #Bitcoin, que comenzó a operar en 2009, y a partir de ella surgieron #Ethereum, #Ripple, #Litecoin y #Dogecoin 🔓 👉  https://t.co/Z9W0h4CSQE  https://t.co/CK7GCJxOTJ	es	[]	['http://ow.ly/kres50EJhIe']	['https://pbs.twimg.com/media/E1Dh4VJWQAMmuh0.jpg']	0	0	2	['asíestálacosa', 'bitcoin', 'ethereum', 'ripple', 'litecoin', 'dogecoin']	[]	https://twitter.com/reformanegocios/status/1391860643901452292	False		1	https://pbs.twimg.com/media/E1Dh4VJWQAMmuh0.jpg		32.779167,-96.808891,10000km					[]		
1391752818948812802	1391752818948812802	2021-05-10 08:51:44 Central Daylight Time	2021-05-10	08:51:44	-0500	16301273	ryandeiss	Ryan Deiss		"Let's have a little fun, shall we?  When I was a kid I had a ferret named Murray.  I challenge you to come up with a better name for a ferret than, ""Murray.""   The winner (judged based on # of likes + my arbitrary feelings) will win a #dogecoin (because Murray always liked dogs).  https://t.co/uPunQeAT5Q"	en	[]	[]	['https://pbs.twimg.com/media/E1B-uplXsAAVSDM.png']	10	0	4	['dogecoin']	[]	https://twitter.com/ryandeiss/status/1391752818948812802	False		1	https://pbs.twimg.com/media/E1B-uplXsAAVSDM.png		32.779167,-96.808891,10000km					[]		
1391740919263678465	1391740919263678465	2021-05-10 08:04:27 Central Daylight Time	2021-05-10	08:04:27	-0500	31136822	thebrandonmorse	Brandon Morse		#Dogecoin  https://t.co/GwebWOCQXc	und	[]	[]	['https://pbs.twimg.com/tweet_video_thumb/E1B0-8qWUAA6lDq.jpg']	1	2	12	['dogecoin']	[]	https://twitter.com/TheBrandonMorse/status/1391740919263678465	False		1	https://pbs.twimg.com/tweet_video_thumb/E1B0-8qWUAA6lDq.jpg		32.779167,-96.808891,10000km					[]		
1391729045520461825	1391729045520461825	2021-05-10 07:17:16 Central Daylight Time	2021-05-10	07:17:16	-0500	2556706717	kluvrebekah	Rebekah Black		Someone please! Explain #dogecoin. We get it but don’t get it.	en	[]	[]	[]	6	0	8	['dogecoin']	[]	https://twitter.com/kluvrebekah/status/1391729045520461825	False	https://twitter.com/KLUVMiles/status/1391723742913470469	0			32.779167,-96.808891,10000km					[]		
1391649208990502912	1391649208990502912	2021-05-10 02:00:01 Central Daylight Time	2021-05-10	02:00:01	-0500	357050985	diario24horas	@diario24horas		Al aparecer como invitado en el programa cómico estadounidense “Saturday Night Live”, Elon Musk, el polémico jefe de #Tesla y #SpaceX, dijo que tiene síndrome de Asperger y volvió a hablar de la criptomoneda #Dogecoin.  https://t.co/lbHK6YBbNJ	es	[]	['https://www.24-horas.mx/2021/05/09/videos-elon-musk-confiesa-tener-asperger-y-afirma-que-el-dogecoin-es-una-estafa/']	[]	0	0	0	['tesla', 'spacex', 'dogecoin']	[]	https://twitter.com/diario24horas/status/1391649208990502912	False		0			32.779167,-96.808891,10000km					[]		
1391636729346527237	1391636729346527237	2021-05-10 01:10:26 Central Daylight Time	2021-05-10	01:10:26	-0500	19489239	jerusalem_post	The Jerusalem Post		".@elonmusk plans on launching ""DOGE-1 Mission to the Moon"", at least partly to be paid for in #Dogecoin.    https://t.co/EWMoitKJ7u"	en	[{'screen_name': 'elonmusk', 'name': 'elon musk', 'id': '44196397'}]	['https://www.jpost.com/international/spacex-accepts-dogecoin-as-payment-to-launch-lunar-mission-next-year-667737']	[]	0	6	15	['dogecoin']	[]	https://twitter.com/Jerusalem_Post/status/1391636729346527237	False		0			32.779167,-96.808891,10000km					[]		
1391501725132021767	1391501725132021767	2021-05-09 16:13:58 Central Daylight Time	2021-05-09	16:13:58	-0500	33576192	reformanegocios	NEGOCIOS		#Dogecoin se cotizó hasta los 0.416 dólares en la plataforma de cifrado Binance, un 36% menos que los niveles antes de la transmisión del programa Saturday Night Live donde #Musk demeritó la criptomoneda. #RegístrateGratis  https://t.co/INngzXK2Iq	es	[]	['https://reforma.com/7FIPNf']	[]	0	3	5	['dogecoin', 'musk', 'regístrategratis']	[]	https://twitter.com/reformanegocios/status/1391501725132021767	False		0			32.779167,-96.808891,10000km					[]		
1391466548544557058	1391466548544557058	2021-05-09 13:54:12 Central Daylight Time	2021-05-09	13:54:12	-0500	37696377	jaymichaels13	Jay Michaels		CONGRATS @elonmusk @MileyCyrus &amp; the #SNL staff THAT did appear for the 3rd highest ratings of the SEASON ‼️‼️‼️ &amp; #Dogecoinarmy #dogecoin #doge #dogetothemoon #ElonMuskSNL #MileyCyrus #grimes 🚀🚀🚀 photo : #Variety ‼️💯💃🏼  https://t.co/ikJAs2pnEM	en	[{'screen_name': 'elonmusk', 'name': 'elon musk', 'id': '44196397'}, {'screen_name': 'mileycyrus', 'name': 'miley ray cyrus', 'id': '268414482'}]	[]	['https://pbs.twimg.com/media/E097c4RX0AIN-LK.jpg']	2	20	31	['snl', 'dogecoinarmy', 'dogecoin', 'doge', 'dogetothemoon', 'elonmusksnl', 'mileycyrus', 'grimes', 'variety']	[]	https://twitter.com/jaymichaels13/status/1391466548544557058	False		1	https://pbs.twimg.com/media/E097c4RX0AIN-LK.jpg		32.779167,-96.808891,10000km					[]		
1391423015431385088	1391423015431385088	2021-05-09 11:01:12 Central Daylight Time	2021-05-09	11:01:12	-0500	2646336846	1funnymike	FunnyMike		Dogecoin is for me because imma hustler 🤪 #dogecoin	en	[]	[]	[]	47	254	1084	['dogecoin']	[]	https://twitter.com/1funnymike/status/1391423015431385088	False		0			32.779167,-96.808891,10000km					[]		
